Date,Open,High,Low,Close,Volume,Adj Close
2013-07-04,1.35,1.37,1.35,1.37,1426200,1.37
2013-07-03,1.35,1.36,1.34,1.36,1207100,1.36
2013-07-02,1.34,1.35,1.34,1.35,421700,1.35
2013-07-01,1.34,1.35,1.34,1.35,878700,1.35
2013-06-28,1.33,1.34,1.33,1.34,863100,1.34
2013-06-27,1.20,1.20,1.20,1.20,000,1.20
2013-06-26,1.32,1.33,1.32,1.33,1003700,1.33
2013-06-25,1.32,1.33,1.32,1.32,1917600,1.32
2013-06-24,1.33,1.33,1.33,1.33,595400,1.33
2013-06-21,1.33,1.33,1.33,1.33,695900,1.33
2013-06-20,1.33,1.33,1.33,1.33,910100,1.33
2013-06-19,1.34,1.34,1.33,1.34,1516200,1.34
2013-06-18,1.36,1.37,1.35,1.36,1650300,1.36
2013-06-17,1.35,1.35,1.35,1.36,1124200,1.36
2013-06-14,1.35,1.35,1.35,1.35,617000,1.35
2013-06-13,1.35,1.35,1.35,1.35,510800,1.35
2013-06-12,1.36,1.36,1.35,1.35,394500,1.35
2013-06-11,1.36,1.36,1.36,1.36,483500,1.36
2013-06-10,1.35,1.36,1.35,1.36,699500,1.36
2013-06-07,1.34,1.35,1.34,1.35,1147000,1.35
2013-06-06,1.33,1.34,1.33,1.34,877400,1.34
2013-06-05,1.32,1.33,1.32,1.33,1004100,1.33
2013-06-04,1.32,1.33,1.32,1.33,1085000,1.33
2013-06-03,1.31,1.32,1.31,1.32,883700,1.32
2013-05-31,1.31,1.32,1.31,1.31,479500,1.31
2013-05-30,1.22,1.22,1.22,1.22,000,1.22
2013-05-29,1.22,1.22,1.22,1.22,000,1.22
2013-05-28,1.22,1.22,1.22,1.22,000,1.22
2013-05-27,1.22,1.22,1.22,1.22,000,1.22
2013-05-24,1.32,1.32,1.32,1.32,374400,1.32
2013-05-23,1.22,1.22,1.22,1.22,000,1.22
2013-05-22,1.22,1.22,1.22,1.22,000,1.22
2013-05-21,1.21,1.21,1.21,1.21,000,1.21
2013-05-20,1.32,1.32,1.32,1.32,1009200,1.32
2013-05-17,1.32,1.32,1.32,1.32,425400,1.32
2013-05-16,1.32,1.32,1.32,1.32,1272400,1.32
2013-05-15,1.32,1.32,1.32,1.32,1168500,1.32
2013-05-14,1.32,1.32,1.31,1.32,1568700,1.32
2013-05-13,1.31,1.31,1.31,1.31,1038500,1.31
2013-05-10,1.31,1.31,1.31,1.31,1154800,1.31
2013-05-09,1.31,1.31,1.31,1.31,1251000,1.31
2013-05-08,1.30,1.31,1.30,1.31,1067700,1.31
2013-05-07,1.31,1.31,1.30,1.31,905900,1.31
2013-05-06,1.21,1.21,1.21,1.21,000,1.21
2013-05-03,1.21,1.21,1.21,1.21,000,1.21
2013-05-02,1.32,1.32,1.31,1.31,597800,1.31
2013-05-01,1.21,1.21,1.21,1.21,000,1.21
2013-04-30,1.34,1.34,1.32,1.33,505100,1.33
2013-04-29,1.33,1.34,1.33,1.33,287600,1.33
2013-04-26,1.33,1.33,1.33,1.33,352500,1.33
2013-04-25,1.33,1.33,1.33,1.33,541100,1.33
2013-04-24,1.34,1.34,1.33,1.33,736900,1.33
2013-04-23,1.34,1.34,1.33,1.34,362300,1.34
2013-04-22,1.33,1.34,1.33,1.34,713800,1.34
2013-04-19,1.33,1.34,1.33,1.33,509400,1.33
2013-04-18,1.33,1.34,1.33,1.33,895300,1.33
2013-04-17,1.34,1.34,1.33,1.33,699000,1.33
2013-04-16,1.34,1.34,1.34,1.34,667800,1.34
2013-04-15,1.35,1.35,1.34,1.34,809000,1.34
2013-04-12,1.35,1.35,1.34,1.34,648300,1.34
2013-04-11,1.33,1.35,1.33,1.35,966500,1.35
2013-04-10,1.33,1.34,1.33,1.34,1286400,1.34
2013-04-09,1.32,1.33,1.32,1.33,757100,1.33
2013-04-08,1.32,1.32,1.31,1.32,994100,1.32
2013-04-05,1.32,1.32,1.32,1.32,475500,1.32
2013-04-04,1.22,1.22,1.22,1.22,000,1.22
2013-04-03,1.22,1.22,1.22,1.22,000,1.22
2013-04-02,1.21,1.21,1.21,1.21,000,1.21
2013-04-01,1.21,1.21,1.21,1.21,000,1.21
2013-03-29,1.21,1.21,1.21,1.21,000,1.21
2013-03-28,1.33,1.33,1.32,1.33,903300,1.33
2013-03-27,1.32,1.33,1.32,1.32,1364800,1.32
2013-03-26,1.31,1.32,1.31,1.32,1229500,1.32
2013-03-25,1.31,1.32,1.31,1.31,773700,1.31
2013-03-22,1.31,1.31,1.30,1.31,983300,1.31
2013-03-21,1.30,1.31,1.30,1.31,348800,1.31
2013-03-20,1.30,1.31,1.30,1.30,482200,1.30
2013-03-19,1.30,1.31,1.30,1.31,503300,1.31
2013-03-18,1.29,1.30,1.29,1.30,523600,1.30
2013-03-15,1.30,1.30,1.29,1.30,1170500,1.30
2013-03-14,1.29,1.30,1.29,1.29,860500,1.29
2013-03-13,1.30,1.30,1.29,1.29,1192000,1.29
2013-03-12,1.30,1.30,1.30,1.30,1294500,1.30
2013-03-11,1.29,1.30,1.29,1.30,921800,1.30
2013-03-08,1.30,1.30,1.29,1.30,736500,1.30
2013-03-07,1.29,1.30,1.29,1.29,735600,1.29
2013-03-06,1.30,1.30,1.29,1.29,407600,1.29
2013-03-05,1.30,1.30,1.29,1.29,533300,1.29
2013-03-04,1.29,1.30,1.29,1.30,320600,1.30
2013-03-01,1.30,1.30,1.29,1.29,483000,1.29
2013-02-28,1.22,1.22,1.22,1.22,000,1.22
2013-02-27,1.29,1.29,1.29,1.29,452100,1.29
2013-02-26,1.29,1.30,1.29,1.30,366000,1.30
2013-02-25,1.29,1.29,1.29,1.29,919000,1.29
2013-02-22,1.28,1.29,1.28,1.29,879600,1.29
2013-02-21,1.28,1.28,1.28,1.28,992100,1.28
2013-02-20,1.28,1.28,1.27,1.28,1639700,1.28
2013-02-19,1.27,1.28,1.27,1.28,909400,1.28
2013-02-18,1.27,1.27,1.27,1.27,624400,1.27
2013-02-15,1.27,1.27,1.27,1.27,567400,1.27
2013-02-14,1.27,1.27,1.27,1.27,464700,1.27
2013-02-13,1.26,1.27,1.26,1.27,838800,1.27
2013-02-12,1.27,1.27,1.26,1.26,663600,1.26
2013-02-11,1.25,1.27,1.25,1.26,2558800,1.26
2013-02-08,1.25,1.26,1.25,1.26,2324300,1.26
2013-02-07,1.25,1.25,1.25,1.25,429400,1.25
2013-02-06,1.25,1.25,1.25,1.25,365700,1.25
2013-02-05,1.25,1.25,1.25,1.25,897900,1.25
2013-02-04,1.25,1.25,1.25,1.25,619600,1.25
2013-02-01,1.25,1.25,1.25,1.25,576100,1.25
2013-01-31,1.22,1.22,1.22,1.22,000,1.22
2013-01-30,1.25,1.25,1.25,1.25,752700,1.25
2013-01-29,1.24,1.25,1.24,1.25,1768200,1.25
2013-01-28,1.24,1.25,1.24,1.25,770500,1.25
2013-01-25,1.24,1.24,1.24,1.24,684400,1.24
2013-01-24,1.24,1.24,1.24,1.24,699000,1.24
2013-01-23,1.24,1.24,1.24,1.24,548100,1.24
2013-01-22,1.24,1.24,1.23,1.24,878800,1.24
2013-01-21,1.23,1.24,1.23,1.24,635100,1.24
2013-01-18,1.23,1.23,1.23,1.23,356400,1.23
2013-01-17,1.22,1.23,1.22,1.23,355000,1.23
2013-01-16,1.22,1.23,1.22,1.23,752100,1.23
2013-01-15,1.22,1.23,1.22,1.22,2435700,1.22
2013-01-14,1.23,1.23,1.22,1.22,974600,1.22
2013-01-11,1.22,1.23,1.22,1.23,772800,1.23
2013-01-10,1.23,1.23,1.22,1.22,966800,1.22
2013-01-09,1.23,1.23,1.22,1.22,1114400,1.22
2013-01-08,1.23,1.23,1.22,1.23,980100,1.23
2013-01-07,1.23,1.23,1.22,1.23,746700,1.23
2013-01-04,1.22,1.23,1.22,1.23,1183500,1.23
2013-01-03,1.22,1.22,1.22,1.22,512300,1.22
2013-01-02,1.22,1.23,1.22,1.22,1590200,1.22
2013-01-01,1.19,1.19,1.19,1.19,000,1.19
2012-12-31,1.19,1.19,1.19,1.19,000,1.19
2012-12-28,1.22,1.22,1.22,1.22,468000,1.22
